Date,BTC,ETH,LTC,XRP,USDT
01-01-2016,434.3340148925781,0.9480239748954772,3.5089800357818604,0.0059550302103161,1.0
02-01-2016,433.43798828125,0.9371240139007568,3.50216007232666,0.0060647199861705,1.0
03-01-2016,430.010986328125,0.971904993057251,3.483069896697998,0.0060171401128172,1.0
04-01-2016,433.0910034179688,0.954479992389679,3.495389938354492,0.0059577501378953,1.0
05-01-2016,431.9599914550781,0.9501760005950928,3.469670057296753,0.0060443300753831,1.000249981880188
06-01-2016,429.1050109863281,0.9508600234985352,3.4535601139068604,0.0060032899491488,1.0
07-01-2016,458.0480041503906,0.9420049786567688,3.604140043258667,0.0060391798615455,1.0
08-01-2016,453.2300109863281,0.9867889881134032,3.568880081176758,0.0059333099052309,1.0
09-01-2016,447.6109924316406,0.9868329763412476,3.560570001602173,0.0059820199385285,1.0
10-01-2016,447.9909973144531,0.999230980873108,3.536720037460327,0.0059560597874224,1.0
11-01-2016,448.4280090332031,1.0615999698638916,3.556619882583618,0.0058946600183844,1.0
12-01-2016,435.6900024414063,1.1410000324249268,3.493680000305176,0.005854379851371,1.0
13-01-2016,432.3710021972656,1.1252000331878662,3.476020097732544,0.0057936399243772,1.0004500150680542
14-01-2016,430.3059997558594,1.1895899772644043,3.4659900665283203,0.0055293599143624,1.0
15-01-2016,364.33099365234375,1.208009958267212,2.9967799186706543,0.0052293301559984,1.0
16-01-2016,387.5360107421875,1.220289945602417,3.086940050125122,0.005112050101161,1.0004099607467651
17-01-2016,382.2990112304688,1.3274699449539185,3.0261900424957275,0.0052657998166978,1.0
18-01-2016,387.1679992675781,1.4263399839401243,3.048959970474243,0.005326029844582,1.0
19-01-2016,380.1489868164063,1.3713899850845337,3.0174400806427,0.0052707102149724,1.0
20-01-2016,420.2300109863281,1.5318200588226318,3.3885300159454346,0.0053808698430657,1.0
21-01-2016,410.2619934082031,1.553570032119751,3.2207798957824707,0.0053125699050724,1.0
22-01-2016,382.4920043945313,1.501270055770874,3.0765700340271,0.0051143700256943,1.0000699758529663
23-01-2016,387.4909973144531,1.9726699590682983,3.103480100631714,0.0051200902089476,1.0001499652862549
24-01-2016,402.9710083007813,2.141200065612793,3.180999994277954,0.0052193799056112,1.0000100135803225
25-01-2016,391.72601318359375,2.499269962310791,3.127279996871948,0.0051346500404179,1.0000100135803225
26-01-2016,392.1530151367188,2.276370048522949,3.154819965362549,0.0054190000519156,1.0
27-01-2016,394.9719848632813,2.388550043106079,3.287450075149536,0.0065058800391852,1.0
28-01-2016,380.28900146484375,2.5264899730682373,3.1201601028442383,0.0062259598635137,0.9999989867210388
29-01-2016,379.4739990234375,2.494960069656372,3.111380100250244,0.0068395398557186,0.999978005886078
30-01-2016,378.2550048828125,2.4450600147247314,3.0808000564575195,0.0066340798512101,1.0
31-01-2016,368.7669982910156,2.306040048599243,3.0521600246429443,0.0063991900533437,0.9999989867210388
01-02-2016,373.0559997558594,2.2116899490356445,3.077239990234375,0.0065417098812758,0.9999690055847168
02-02-2016,374.447998046875,2.439640045166016,3.0758700370788574,0.0067682699300348,1.0
03-02-2016,369.9490051269531,2.5286900997161865,3.047529935836792,0.0068825599737465,1.0
04-02-2016,389.593994140625,2.5780398845672607,3.1627700328826904,0.0069704600609838,1.0
05-02-2016,386.5490112304688,2.538990020751953,3.1374099254608154,0.007262079976499,1.0
06-02-2016,376.5220031738281,2.5344600677490234,3.0989999771118164,0.0079222097992897,1.0
07-02-2016,376.6199951171875,2.9643399715423584,3.0859599113464355,0.0083381403237581,1.0
08-02-2016,373.4469909667969,3.1797900199890137,3.062160015106201,0.0079908203333616,1.0
09-02-2016,376.0289916992188,4.044640064239502,3.081549882888794,0.0078154196962714,1.0
10-02-2016,381.6489868164063,4.436260223388672,3.095249891281128,0.0078534595668315,1.0
11-02-2016,379.6539916992188,6.0131001472473145,3.07561993598938,0.0078151803463697,1.0
12-02-2016,384.2630004882813,5.546979904174805,3.111870050430298,0.0079793902114033,1.0
13-02-2016,391.8599853515625,5.38532018661499,3.129689931869507,0.0082574598491191,1.0
14-02-2016,407.2300109863281,5.239729881286621,3.21058988571167,0.0085900602862238,1.000890016555786
15-02-2016,400.18499755859375,5.2883501052856445,3.1825098991394043,0.008630639873445,1.0000100135803225
16-02-2016,407.4880065917969,4.315289974212647,3.209009885787964,0.0084508899599313,1.0000100135803225
17-02-2016,416.3219909667969,3.757240056991577,3.241029977798462,0.008137909695506,1.0
18-02-2016,422.37298583984375,4.399129867553711,3.251430034637451,0.0079952999949455,1.0
19-02-2016,420.7850036621094,4.737889766693115,3.2527899742126465,0.0082447500899434,1.0
20-02-2016,437.16400146484375,4.341330051422119,3.4579899311065674,0.0082526002079248,1.0
21-02-2016,438.7980041503906,4.653619766235352,3.4642701148986816,0.0081003196537494,1.0
22-02-2016,437.74798583984375,5.616499900817871,3.483629941940308,0.0080503104254603,1.0
23-02-2016,420.7359924316406,5.586209774017334,3.396929979324341,0.0079696895554661,1.0
24-02-2016,424.9549865722656,6.2364702224731445,3.3748700618743896,0.0080760903656482,0.9998440146446228
25-02-2016,424.54400634765625,6.104800224304199,3.365520000457764,0.0080273495987057,1.0
26-02-2016,432.1520080566406,5.921669960021973,3.416790008544922,0.0080579295754432,1.0
27-02-2016,432.5190124511719,6.425859928131104,3.412879943847656,0.0079722302034497,1.0
28-02-2016,433.5039978027344,6.468349933624268,3.4418599605560303,0.007888900116086,1.0
29-02-2016,437.6969909667969,6.336989879608154,3.4461100101470947,0.0079225599765777,1.0000200271606443
